101,5
102,10
103,3
104,5
105,7
106,1
107,10
108,4
109,6
110,6
111,7
112,1
113,5
114,6
115,8
116,9
117,1
118,5
119,8
120,10
121,5
122,6
123,6
124,4
125,3
126,6
127,7
128,7
129,5
130,3
131,9
132,1
133,3
134,8
135,6
136,4
137,3
138,7
139,6
140,9
141,10
142,10
143,1
144,4
145,7
146,9
147,10
148,5
149,1
150,9
151,8
152,8
153,1
154,6
155,1
156,4
157,10
158,3
159,7
160,7
161,10
162,6
163,9
164,7
165,7
166,4
167,8
168,9
169,4
170,10
171,5
172,6
173,9
174,7
175,8
176,3
177,7
178,1
179,3
180,9
181,7
182,4
183,7
184,8
185,6
186,10
187,8
188,3
189,5
190,3
191,6
192,4
193,6
194,9
195,7
196,7
197,5
198,4
199,1
200,8
